,017c_7byte
4,00100110
18,00110101
29,00001011
43,00011010
54,00101001
68,00110110
79,00001001
93,00011000
105,00101001
121,00111000
131,00001011
145,00011011
156,00101010
170,00111001
180,00001011
194,00011010
206,00101001
220,00110110
231,00001001
248,00011000
259,00101000
273,00110111
283,00001010
297,00011100
308,00101011
322,00111010
334,00001100
348,00011011
360,00101010
379,00110111
389,00001010
403,00011001
414,00101000
434,00011100
445,00001110
466,00011110
478,00010110
489,00100101
501,00000110
512,00000100
525,00010011
539,00100011
551,00000100
568,00010101
589,00110110
602,00000100
616,00011001
628,00101000
631,00111000
641,00001011
655,00011010
673,00101110
684,00001111
698,00010000
714,00011111
727,00000010
740,00001111
753,00101001
765,00110110
766,00110110
776,00001001
789,00011010
802,00101000
815,00110101
833,00111100
838,00100000
849,00110010
866,00100110
876,00101000
893,00011101
907,00101100
916,00111100
938,00011101
947,00111111
963,00010100
982,00111000
999,00001011
1010,00011010
1019,00110001
1043,00001101
1051,00111010
1067,00011000
1083,00000111
1097,00110101
1106,00001000
1117,00010111
1129,00010110
1147,00111011
1155,00010001
1164,00111111
1171,00110101
1194,00110110
1206,00110100
1215,00000111
1227,00001001
1237,00011000
1243,00001011
1253,00011010
1259,00010001
1274,00010111
1290,00010000
1306,00011110
1321,00101101
1331,00101100
1340,00111011
1346,00111011
1368,00111110
1386,00000000
1397,00011010
1412,00101001
1422,00000000
1434,00011010
1448,00111010
1459,00001100
1466,00111100
1485,00111001
1498,00111000
1511,00001011
1526,00111001
1541,00110011
1555,00101000
1570,00101101
1580,00111100
1587,00101001
1603,00100001
1617,00110000
1632,00110000
1642,00101001
1653,00110111
1658,00010100
1674,00100001
1685,00111110
1692,00010000
1707,00101111
1718,00111101
1733,00110000
1746,00011100
1767,00111001
1778,00010110
1802,00011010
1811,00000000
1822,00011111
1842,00001000
1853,00100001
1866,00010110
1887,00001101
1898,00111010
1911,00001101
1922,00011111
1939,00011000
1954,00000010
1979,00110101
1993,00011011
2006,00010001
2020,00100000
2029,00111001
2043,00101000
2058,00100100
2075,00000001
2090,00000111
2101,00010110
2107,00101011
2118,00111010
2130,00011000
2147,00100100
2164,00010110
2186,00001101
2194,00111001
2207,00001100
2220,00101011
2234,00100000
2259,00111100
2266,00111110
2282,00000110
2293,00010101
2302,00110101
2315,00000111
2322,00010100
2345,00100100
2354,00010000
2370,00111101
2386,00001101
2397,00011100
2402,00000001
2413,00010000
2428,00011001
2452,00000111
2458,00110111
2476,00011001
2497,00001010
2506,00110101
2518,00001000
2537,00001110
2547,00110110
2561,00110000
2582,00000111
2593,00110000
2615,00000010
2626,00010001
2635,00110110
2653,00100010
2666,00110011
2683,00111110
2703,00100010
2717,00110001
2719,00100001
2728,00110000
2739,00010110
2751,00011000
2764,00100111
2773,00000110
2786,00000011
2797,00010010
2803,00011101
2817,00101100
2826,00111010
2844,00111111
2859,00111110
2879,00101000
2901,00100010
2902,00101100
2911,00111011
2924,00001110
2937,00100111
2954,00110111
2970,00101110
2975,00001010
2984,00011001
2994,00101001
3005,00110110
3008,00100100
3018,00110100
3040,00101100
3051,00111101
3074,00100000
3083,00111111
3099,00010100
3113,00100011
3122,00111001
3140,00010000
3159,00001011
3173,00001000
3186,00010001
3203,00011011
3217,00101010
3231,00100011
3241,00101111
3251,00111110
3261,00101110
3275,00111001
3287,00101101
3295,00111100
3309,00111111
3324,00001111
